MdlN,End Status,PrP start DT,Sim start DT,Sim end DT,PoP end DT,SimDur,Sim device name,Sim Dir,1st SP date,last SP date
NBr1,Completed,,2025-01-23 11:37:00,2025-01-23 12:45:00,,01:12,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,1991-01-01,1991-02-01
NBr2,Removed,,2025-01-23 16:08:00,2025-01-24 00:09:00,,~8h,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,2018-01-01,2018-12-31
NBr3,Removed,,2025-01-24 15:30:00,2025-01-24 20:31:00,,-,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,2018-01-01,2018-12-31
NBr4,Cancelled,,,,,-,-,-,1993-01-01,2020-10-05
NBr5,Completed,,2025-02-25 23:25:00,2025-02-27 12:00:00,,-,FG-VM43,C:\OD\WS_Mdl\models\NBr\Sim,2010-01-01,2018-12-31
NBr6,Completed,,2025-02-24 23:33:00,2025-02-24 23:54:00,,-,FG-VM43,C:\OD\WS_Mdl\models\NBr\Sim,2010-01-01,2010-02-01
NBr7,Completed,,2025-03-10 21:52:00,2025-03-10 21:52:00,,-,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,2010-01-01,2010-01-03
NBr8,Completed,,2025-04-05 11:45:00,2025-04-06 02:42:00,,-,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,2010-01-01,2018-12-31
NBr9,Failed,,,,,-,-,-,,
NBr10,Completed,,2025-04-04 13:32:00,2025-04-04 13:33:00,,-,UU120516,C:\OD\WS_Mdl\models\NBr\Sim,2010-01-01,2010-01-03
NBr11,Running,2025-05-09 15:05:55,,,,,UU120516,C:/OD/WS_Mdl\models/NBr\Sim,2010-01-01,2010-01-01
