"runN","model alias","SimN","MdlN","B SimN","B MdlN","modeller alias","Sim type","Description","Start Status","End Status"
"1","NBr","1","NBr1","-","NBr-","MK","Test","Restructured folders. I had first ran the model at the end of Oct, using the folder strucure that I was given. I re-structured the model so that it's easier to work with it.","Queued","Completed"
"2","NBr","2","NBr2","1","NBr1","MK","Hi","Bl run for WS assembly. 2018 run, with some caveats that are ok for now (for the sake of time), but will have to be corrected eventually:
-SHD are from 1993. I thought CHD for the start of 2018 would work, but it didn't.
-WEL: I used the SS files. I have written a script to make the T files work now.","Queued","Removed"
"3","NBr","3","NBr3","2","NBr2","MK","Sc","Sc run for WS Assembly. +10% P in the winter, -10% P in the summer.","Queued","Removed"
"4","NBr","4","NBr4","1","NBr1","MK","Vld","Validation Sim. HD Out files only for L1. No budget Out files at all.","Cancelled","Removed Output"
"5","NBr","5","NBr5","4","NBr4","MK","Vld","Chaamse Beek Validation Sim.
Window: 113100 387600 125100 396200
Couldn't find files referenced by obs.ipf, so I only used ijkset_selectie.ipf in the PRJ file.
Para_sim iybg changed to 2010","Queued","Removed Output"
"6","NBr","6","NBr6","5","NBr5","MK","Test","First short run (for experimentation and testing). Shortened duration to make it faster to prepare the run with iMOD, while I'm experimenting with different options or debugging.","Queued","Removed Output"
"7","NBr","7","NBr7","6","NBr6","MK","Test","Test run to develop an automation script.
Shortened duration even more, and cut-down model Aa to only a few Rs and Cs, but added some more output.","Queued","Removed Output"
"8","NBr","8","NBr8","5","NBr5","MK","Vld","New OBS: it was discovered, some Obs weren't connected to the corresponding layer based on TOP/BOT arrays.
SHDs made from CHDs","Queued","Removed Output"
"9","NBr","9","NBr9","7","NBr7","MK","Test","New MF version/EXE","Cancelled","Removed Output"
"10","NBr","10","NBr10","9","NBr9","MK","Test","Without new MF EXE.","Queued","Removed Output"
"11","NBr","11","NBr11","10","NBr10","MK","Test","RunMng.ipynb edited to use snakemake files.","Queued","Removed Output"
"12","NBr","12","NBr12","8","NBr8","MK","Vld","Validation Smk run: Implemented Smk usage (via py function - RunMng). Vld run with all output. B: NBr8+NBr11.","Queued","Removed Output"
"13","NBr","13","NBr13","12","NBr12","MK","Sc","Sensitivity 1: RIV_Stg = RIV_Stg_B + 0.2m","Queued","Removed Output"
"14","NBr","14","NBr14","12","NBr12","MK","Sc","Sensitivity 2: WEL removed (from PRJ file)","Queued","Removed Output"
"15","NBr","15","NBr15","12","NBr12","MK","Test","SFR test: Testing if SFR can work with MF6. Only 3 SPs for a quick test.
SFR is created and added to the NAM file manually. Then .smk was edited (to bring the Sim and PoP rules back in).","Queued","Removed Output"
"16","NBr","16","NBr16","15","NBr15","MK","Test","NO RIV. RIV block removed from PRJ.","Queued","Removed Output"
"17","NBr","17","NBr17","16","NBr16","MK","Test","Spiderweb SFR #1:
1. RIV replaced with SFR. No proper routing  yet- every reach connected to the end reach directly.
2. rtp = L1 TOP. All reaches connected to L1.
3. rbth = 0.001 everywhere.","Queued","Removed Output"
"18","NBr","18","NBr18","12","NBr12","MK","Vld","B for spiderwebs:  Changed duration to 3 days. To test against NBr17","Queued","Removed Output"
"19","NBr","19","NBr19","17","NBr17","MK","Test","Spiderweb SFR #2:
SFR: rtp=L1BOT+0.002","Queued","Removed Output"
"20","NBr","20","NBr20","19","NBr19","MK","Test","Spiderweb SFR #3:
Added cellid NONE as outflow to compare the amount of water going back to the Aqf. Should be much less than NBr19.","Queued","Removed Output"
"21","NBr","21","NBr21","20","NBr20","MK","Test","Spiderweb SFR #4:
SFR rwid=10 (instead of 2) -> check if water from SFR to GWF is the same as before. I'd assume it'll be much less.","Queued","Removed Output"
"22","NBr","22","NBr22","20","NBr20","MK","Test","Spiderweb SFR #5:
Changed CHD to start from 01/01 (with the values from 14/01), to see if the missing CHD and DRN systems appear in LST.","Queued","Removed Output"
"23","NBr","23","NBr23","18","NBr18","MK","Vld","B for spiderwebs #2: CHD initiated from 01/01 like Nbr22.","Queued","Removed Output"
"24","NBr","24","NBr24","15","NBr15","MK","Test","Spidrweb SFR #6: To test against NBr23
Changed CHD to start from 01/01 (with the values from 14/01)
rtp of the only 2 SFR cells I the model set to 100m (so that they don't influence the WB at all. Also, inflow removed.","Queued","Removed Output"
"25","NBr","25","NBr25","22","NBr22","MK","Test","Spiderweb SFR #7: Added SFR OBS. Added rule to record current git repo version. CHD initiated from 01/01.","Queued","Removed Output"
"26","NBr","26","NBr26","25","NBr25","MK","Test","Spiderweb SFR #8: Extended to 60 days, so we can have more TS steps to investigate.","Queued","Removed Output"
"27","NBr","27","NBr27","25","NBr25","MK","Test","Spiderweb SFR #9: No NONE node (as in NBr--). To see if there is a ""backwater"" effect.","Queued","Removed Output"
"28","NBr","28","NBr28","27","NBr27","MK","Test","Smk improvements: freeze_env_to_yml & file locks while writing. Results should be identical to B.","Cancelled","Failed"
"29","NBr","29","NBr29","25","NBr25","MK","Test","Spiderweb SFR #10: MVR: DRN water added to SFR.","Queued","Removed Output"
"30","NBr","30","NBr30","29","NBr29","MK","Test","Spiderweb SFR #10b: SSYSTEM=0, to check which of the DRN systems removes most of the water. Only DRN Sys1 connected via MVR.","Queued","Removed Output"
"31","NBr","31","NBr31","30","NBr30","MK","Test","PRJ -> imod python: Test #1","Cancelled",""
"32","NBr","32","NBr32","23","NBr23","MK","Test","PRJ -> imod python: Test #2:
No RIV. Via imod python. PRJ: SS blocks removed, otherwise it wouldn't work with imod python. Run via JupNote.","Queued","Completed"
"33","NBr","33","NBr33","32","NBr32","MK","Test","SFRmaker (imod python) #1:
  2 SPs, just to have it run without errors.
  All parameters set properly from the .shp. 3 actions remaining -> NBr35","Queued","Completed"
"34","NBr","34","NBr34","23","NBr23","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons. Changes:
  INI: Sim Dur 1993-2004. No CBC Outs.
  PRJ: SHD and CHD changed to 1993-2004.
  Smk: update based on NBr32","Queued","Completed"
"35","NBr","35","NBr35","33","NBr33","MK","Test","SFRmaker #2:
  Still just 2 SPs. Extra actions:
    - Add OBS at Outflow point
    - Pass conductance values from RIV to SFR reaches.","Queued","Completed"
"36","NBr","36","NBr36","35","NBr35","MK","Test","SFRmaker #3:
 Conneced DRN via MVR to SFR.","Queued","Completed"
"37","NBr","37","NBr37","36","NBr36","MK","Test","SFRmaker #4:
 Detailed SW network.","Queued","Completed"
"38","NBr","38","NBr38","37","NBr37","MK","Test","SFRmaker #5:
 Corrected detailed SW network - added missing connections.","Queued","Completed"
"39","NBr","39","NBr39","34","NBr34","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #2.
 Made new SHDs from CHDs for this Sim.","Queued","Removed Output"
"40","NBr","40","NBr40","38","NBr38","MK","Test","SFRmaker #6:
 Connected 3ry SW Nw to thickest L at 0.75-1.5m depth from surface.","Queued","Completed"
"41","NBr","41","NBr41","40","NBr40","MK","Test","SFRmaker #7:
 2*B_SFR_Cond","Queued","Completed"
"42","NBr","42","NBr42","40","NBr40","MK","Test","SFRmaker #8:
 0.5*B_SFR_Cond","Queued","Completed"
"43","NBr","43","NBr43","39","NBr39","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3.
 2 year Sim. HD out enabled.","Queued","Removed Output"
"44","NBr","44","NBr44","40","NBr40","MK","Test","SFRmaker #9:
 SFR for segments of the GPkg + RIV for the RIV cells (in NBr43) that aren't represented with GPkg","Queued","Completed"
"45","NBr","45","NBr45","44","NBr44","MK","Test","SFRmaker #10:
 Noticed that RIV elements where missing from the OBS. Made sure they're all included this time.","Queued","Completed"
"46","NBr","46","NBr46","45","NBr45","MK","Test","SFRmaker #11:
 Changing the input .gpkg in the Jupyter notebook. For some reason the flow was far too big in NBr46
 That was the cause.","Queued","Completed"
"47","NBr","47","NBr47","46","NBr46","MK","Test","SFRmaker #12:
 SFR Cond now taken from Detailwatergangen whenever possible. Also, reduced default k value, where there is no RIV_Cond available, to 0.1m/d (from 1m/d). 1 was probably too high.
 SFR_OBS added to monitor stage at every reach.","Queued","Completed"
"48","NBr","48","NBr48","47","NBr47","MK","Test","Test - Run on SURF #1 - Shortened Sim Dur. Prepared via .py, instead of JupNote. Ran on SURF instead.","Queued","Completed"
"49","NBr","49","NBr49","43","NBr43","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3p1.
 Replaced RIV summer and winter stage files with correct ones. 1 day Sim - I just need the RIV output, so I can prepare RIV OBS for p2.","Queued","Completed"
"50","NBr","50","NBr50","49","NBr49","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3p2.
  3 year Sim as OG B (NBr43). B (NBr49 was needed to get the RIV element arrays to create the OBS for this Sim.","Queued","Removed Output"
"51","NBr","51","NBr51","50","NBr50","MK","Test","SFRmaker #13; Test - Run on SURF #2
  Added 1ry SFR Nw, replacing main RIV Nw","Queued","Completed"
"52","NBr","52","NBr52","50","NBr50","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3p3.
  1996-2004: for comparison with Perry's TS flows.
  Made SHD from NBr50 HD Out (last SP)","Queued","PoPed"
"53","NBr","53","NBr53","51","NBr51","MK","Test","SFRmaker #14:
  Added 3ry SFR Nw, replacing detailwatergangen RIV Nw (completelly). 
  For 3ry displace rtp based on average rtp-RIV_Stg.","Queued","Completed"
"54","NBr","54","NBr54","50","NBr50","MK","Test","SFRmaker #2.0: SFR for main SW in Chaamse Beek
- To produce AVG summer and winter RIV stages for NBr55. Read NBr55 description for more info about this.
- Using Smk file in SFR simulation for the 1st time. (hence 2.0)
- Only main SFR in Chaamse Beek catchment, the rest is modelled by RIV. DRN and RIV are not connected to the SFR.","Queued","PoPed"
"55","NBr","55","NBr55","52","NBr52","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #4
  Main RIV Stg set to SFR AVG summer and winter stage from NBr54. This is to isolate the effects of the difference in data between NBr50 and NBr55. Then NBr54 Vs NBr55 isolates the Diff the method (SFR vs RIV) have on the system.","Queued","Completed"
"56","NBr","56","NBr56","54","NBr54","MK","Test","SFR maker #2.1: SFR for main SW in Chaamse Beek
- DRN & RIV connected to SFR.","Queued","Completed"
"57","NBr","57","NBr57","52","NBr52","MK","Test","B (RIV) via imod_python
- To compare with NBr52, and see if just switching to imod_python causes different results.
- Had to use new SHD, cause imod_python struggles with nan's (created where idomain=0 from previous Sim (NBr50 HD Out))","Queued","PoPed"
"58","NBr","58","NBr58","56","NBr56","MK","Test","SFRmaker #2.2: SFR for main SW in Chaamse Beek
- Used NBr57 SHDs","Queued","Removed Output"
"59","NBr","59","NBr59","52","NBr52","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3p4.
- iMOD5.
- SHDs from NBr57 so that this Sim can be compared to NBr60 (no difference in SHDs).","Queued",""
"60","NBr","60","NBr60","57","NBr57","MK","Test","B (RIV) for Chaamse Beek Outflow comparissons #3p5.
- imod_python. Changed code to remove outer boundary cells/SVATs.","Development",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
"0","","","","","","","","0","",""
