index of land use type,name of land use type,index of vegetation type,Jarvis parameter for o2 stress,Jarvis parameter for drought stress,p1 Feddes function,p2 Feddes function,p3h Feddes function,p3l Feddes function,p4 Feddes function,t3 Feddes function,t3 Feddes function_,pressure head begin sprinkling/drought stress alpha begin sprinkling,fraction evaporated sprinkling water,gift in rotational period,duration gift,rotational period,beginning of sprinkling period (season),end of sprinkling period,albedo in Penman-Monteith (PM),"crop resistance, dry leaves in PM","crop resistance, wet leaves in PM",soil resistance in PM,extinction coefficient diffuse light,extinction coefficient direct light,option parameter for interception,"interception capacity per LAI, Rutter",intercept of interception evaporation,"interception capacity per LAI, Von H","free throughflow coefficient, Gash","stem flow coefficient, Gash","interception capacity of canopy, Gash","average rainfall intensity, Gash",average evaporation intensity Gash,"max. concentration for no salt stress, Maas & Hoffman model","decline of salt stress coefficient per unit of salt concentration, Maas & Hoffman"
1,ras,1,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,-8.0,0.05,20.0,0.25,10,120,230,-9999.0,-9999.0,0.0,600.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
2,ais,2,,1,99.0,99.0,-4.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,20.0,0.25,7,180,230,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
3,ardappelen,3,,1,99.0,99.0,-3.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,20.0,0.25,7,150,240,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
4,ieten,3,,1,99.0,99.0,-4.0,-6.0,-100.0,5.0,1.0,-6.0,0.05,20.0,0.25,7,120,260,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
5,ranen,3,,1,99.0,99.0,-3.0,-6.0,-100.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
6,verige landbouwgew,3,,1,99.0,99.0,-3.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,20.0,0.25,7,120,260,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
7,oomteelt,7,,1,99.0,99.0,-6.0,-6.0,-60.0,5.0,1.0,-5.0,0.05,35.0,0.25,7,120,260,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
8,lastuinbouw,8,,1,1.0,1.0,-0.29,-0.29,-0.3,5.0,1.0,-0.01,0.0,10.0,0.25,1,0,366,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
9,oomgaard,11,,1,99.0,99.0,-6.0,-6.0,-60.0,5.0,1.0,-5.0,0.05,25.0,0.25,7,120,260,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
10,ollen,10,,1,99.0,99.0,-3.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,10.0,0.25,2,60,200,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
11,oofbos,11,,1,99.0,99.0,-6.0,-6.0,-60.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
12,aaldbos,12,,1,99.0,99.0,-6.0,-6.0,-60.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
13,oeras,13,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
14,uinvegetatie,14,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
15,ale grond,15,,1,99.0,99.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
16,ater,16,,1,99.0,99.0,0.0,0.0,-999.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
17,atuurlijk gras,1,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,600.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
18,tedelijk grasland,18,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,600.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
19,onker naaldbos,19,,1,99.0,99.0,-6.0,-6.0,-60.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
20,eidevegetatie,14,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,0.0,0.0,0.0,0.0,0,0,0,-9999.0,-9999.0,0.0,0.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
21,ruitkwekerijen,3,,1,99.0,99.0,-3.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,35.0,0.25,7,120,260,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
22,portvelden,1,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,-5.0,0.05,25.0,0.25,7,120,230,-9999.0,-9999.0,0.0,600.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
23,nbemest grasland,1,,1,99.0,99.0,-2.0,-8.0,-80.0,5.0,1.0,-8.0,0.05,20.0,0.25,10,120,230,-9999.0,-9999.0,0.0,600.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
24,ais met groen,2,,1,99.0,99.0,-4.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,20.0,0.25,7,180,230,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
25,ardappelen vroeg,3,,1,99.0,99.0,-3.0,-5.0,-100.0,5.0,1.0,-5.0,0.05,20.0,0.25,7,150,240,-9999.0,-9999.0,0.0,150.0,-9999.0,-9999.0,0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0
