,package,parameter,MdlN,time,active,is_constant,layer,factor,addition,constant,suffix,path
(CAP)_boundary,CAP,boundary,NBr1,,True,2,1,1.0,0.0,-9999.0,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(CAP)_landuse,CAP,landuse,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\LGN\LGN_NBr1.idf
(CAP)_rootzone_thickness,CAP,rootzone_thickness,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\RZN\RZN_NBr1.idf
(CAP)_soil_physical_unit,CAP,soil_physical_unit,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\SFU\SFU_NBr1.idf
(CAP)_meteo_station_number,CAP,meteo_station_number,NBr1,,True,2,1,1.0,0.0,-9999.0,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(CAP)_surface_elevation,CAP,surface_elevation,NBr1,,True,2,1,1.0,0.0,-9999.0,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\SEV\SEV_NBr1.IDF
(CAP)_artificial_recharge,CAP,artificial_recharge,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\ART\ART_NBr1.idf
(CAP)_artificial_recharge_layer,CAP,artificial_recharge_layer,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\ARL\ARL_NBr1.idf
(CAP)_artificial_recharge_capacity,CAP,artificial_recharge_capacity,nan,,True,1,1,1.0,0.0,25.0,-,nan
(CAP)_wetted_area,CAP,wetted_area,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\WTA\WTA_NBr1.idf
(CAP)_urban_area,CAP,urban_area,NBr1,,True,2,1,1.0,0.0,1e+20,.idf,C:\OD\WS_Mdl\models\NBr\In\CAP\UBA\UBA_NBr1.idf
(CAP)_urban_ponding_depth,CAP,urban_ponding_depth,nan,,True,1,1,1.0,0.0,0.002,-,nan
(CAP)_rural_ponding_depth,CAP,rural_ponding_depth,nan,,True,1,1,1.0,0.0,0.002,-,nan
(CAP)_urban_runoff_resistance,CAP,urban_runoff_resistance,nan,,True,1,1,1.0,0.0,1.0,-,nan
(CAP)_rural_runoff_resistance,CAP,rural_runoff_resistance,nan,,True,1,1,1.0,0.0,1.0,-,nan
(CAP)_urban_runon_resistance,CAP,urban_runon_resistance,nan,,True,1,1,1.0,0.0,1.0,-,nan
(CAP)_rural_runon_resistance,CAP,rural_runon_resistance,nan,,True,1,1,1.0,0.0,1.0,-,nan
(CAP)_urban_infiltration_capacity,CAP,urban_infiltration_capacity,nan,,True,1,1,1.0,0.0,0.0,-,nan
(CAP)_rural_infiltration_capacity,CAP,rural_infiltration_capacity,nan,,True,1,1,1.0,0.0,1.05,-,nan
(CAP)_perched_water_table_level,CAP,perched_water_table_level,nan,,True,1,1,1.0,0.0,-9999.0,-,nan
(CAP)_soil_moisture_fraction,CAP,soil_moisture_fraction,nan,,True,1,1,1.0,0.0,1.0,-,nan
(CAP)_conductivitiy_factor,CAP,conductivitiy_factor,nan,,True,1,1,1.0,0.0,1.0,-,nan
EXTRA,-,-,-,-,Failed to read package,-,-,-,-,-,-,-
(BND)_ibound_Sys1,BND,ibound,NBr1,,True,2,1,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys2,BND,ibound,NBr1,,True,2,2,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys3,BND,ibound,NBr1,,True,2,3,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys4,BND,ibound,NBr1,,True,2,4,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys5,BND,ibound,NBr1,,True,2,5,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys6,BND,ibound,NBr1,,True,2,6,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys7,BND,ibound,NBr1,,True,2,7,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys8,BND,ibound,NBr1,,True,2,8,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys9,BND,ibound,NBr1,,True,2,9,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys10,BND,ibound,NBr1,,True,2,10,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys11,BND,ibound,NBr1,,True,2,11,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys12,BND,ibound,NBr1,,True,2,12,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys13,BND,ibound,NBr1,,True,2,13,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys14,BND,ibound,NBr1,,True,2,14,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys15,BND,ibound,NBr1,,True,2,15,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys16,BND,ibound,NBr1,,True,2,16,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys17,BND,ibound,NBr1,,True,2,17,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys18,BND,ibound,NBr1,,True,2,18,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys19,BND,ibound,NBr1,,True,2,19,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys20,BND,ibound,NBr1,,True,2,20,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys21,BND,ibound,NBr1,,True,2,21,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys22,BND,ibound,NBr1,,True,2,22,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys23,BND,ibound,NBr1,,True,2,23,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys24,BND,ibound,NBr1,,True,2,24,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys25,BND,ibound,NBr1,,True,2,25,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys26,BND,ibound,NBr1,,True,2,26,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys27,BND,ibound,NBr1,,True,2,27,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys28,BND,ibound,NBr1,,True,2,28,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys29,BND,ibound,NBr1,,True,2,29,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys30,BND,ibound,NBr1,,True,2,30,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys31,BND,ibound,NBr1,,True,2,31,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys32,BND,ibound,NBr1,,True,2,32,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys33,BND,ibound,NBr1,,True,2,33,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys34,BND,ibound,NBr1,,True,2,34,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys35,BND,ibound,NBr1,,True,2,35,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys36,BND,ibound,NBr1,,True,2,36,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(BND)_ibound_Sys37,BND,ibound,NBr1,,True,2,37,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\BND\BND_L1_NBr1.IDF
(TOP)_top_Sys1,TOP,top,NBr1,,True,2,1,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\TOP\TOP_L1_NBr1.idf
(TOP)_top_Sys2,TOP,top,NBr1,,True,2,2,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\TOP\TOP_L2_NBr1.idf
(TOP)_top_Sys3,TOP,top,NBr1,,True,2,3,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\TOP\TOP_L3_NBr1.idf
(TOP)_top_Sys4,TOP,top,NBr1,,True,2,4,1.0,0.0,-999.99,.idf,C:\OD\WS_Mdl\models\NBr\In\TOP\TOP_L4_NBr1.idf
